phone_number,city,country,address2,store_name,state,address,zip_code
(847) 605-2121,Schaumburg ,United States,,Nordstrom- Woodfield Mall,IL,6 Woodfield Shopping Center,60173
(847) 677-2121,Skokie ,United States,,Nordstrom- Old Orchard Center,IL,4937 Old Orchard Center,60077
(312) 464-1515,Chicago ,United States,,Nordstrom- Michigan Ave,IL,55 East Grand Avenue,60611
(630) 572-1500,Oak Brook ,United States,,Nordstrom- Oakbrook Center,IL,6 Oakbrook Ctr,60523
(847) 564-0300,Northbrook ,United States,,Neiman Marcus- Northbrook Court,IL,5000 Northbrook Ct,60062
(312) 642-5900,Chicago ,United States,,Neiman Marcus- Michigan Avenue,IL,737 North Michigan Avenue,60611
(847) 432-7200,Highland Park ,United States,,bluemercury- Highland Park,IL,638 Central Ave,60035
(847) 615-3000,Lake Forest ,United States,,bluemercury- Lake Forest,IL,680 N Bank Ln,60045
(773) 327-6900,Chicago ,United States,,bluemercury- Lincoln Park,IL,2208 North Halsted,60614
(630) 455-1400,Hinsdale ,United States,,bluemercury- Hinsdale,IL,21 E 1st St,60521
(312) 587-1700,Chicago ,United States,,Barney's- Chicago,IL,15 E Oak St,60611
(808) 953-6100,Honolulu ,United States,,Nordstrom- Ala Moana Center,HI,1519 Kapiolani Blvd,96814
(808) 951-8887,Honolulu ,United States,,Neiman Marcus- Ala Moana Center,HI,1450 Ala Moana Blvd,96814
(404) 266-8200,Atlanta ,United States,,Neiman Marcus- Lenox Sqaure Mall,GA,3393 Peachtree Rd,30326
(305) 865-6161,Bal Harbour ,United States,,Neiman Marcus- Bal Harbour Shops,FL,9700 Collins Ave,33154
(941) 364-5300,Sarasota ,United States,,Saks Fifth Avenue- Mall at University Town Center,FL,120 University Town Center Drive,34243
(305) 866-0311,Bal Harbour ,United States,,Saks Fifth Avenue- Bal Harbour Shops,FL,9700 Collins Ave,33154
(561) 694-9009,Palm Beach Gardens ,United States,,Saks Fifth Avenue- The Gardens Mall,FL,3109 PGA Boulevard,33410
(813) 875-4400,Tampa ,United States,,Nordstrom- International Plaza,FL,2223 North Westshore Boulevard,33607
(786) 709-4100,Miami ,United States,,Nordstrom- Dadeland Mall,FL,7239 N Kendall Dr,33156
(786) 999-1313,Coral Gables ,United States,,Nordstrom- Village of Merrick Park,FL,4310 Ponce De Leon Blvd,33146
(305) 356-6900,Aventura ,United States,,Nordstrom- Aventura Mall,FL,19507 Biscayne Blvd,33180
(904) 565-0003,Jacksonville ,United States,,bluemercury- St. John's Town Center,FL,4742 River City Dr,32246
(561) 394-2000,Boca Raton ,United States,,Bloomingdale's- Boca Raton Town Center,FL,5840 Glades Road,33431
(305) 792-1000,Aventura ,United States,,Bloomingdale's- Aventura Mall,FL,19555 Biscayne Boulevard,33180
(904) 672-2200,Jacksonville ,United States,,Nordstrom- St John's Town Center,FL,4835 Town Crossing Dr,32246
(303) 799-3400,Lone Tree ,United States,,Nordstrom- Park Meadows,CO,"8465 Park Meadows Center Dr, Park Meadows",80124
(720) 746-2424,Denver ,United States,,Nordstrom- Cherry Creek Shopping Center,CO,2810 E First Ave,80206
(805) 969-5566,Santa Barbara ,United States,,Space.NK- Montecito Country Mart,CA,1016 Coast Village Rd,93108
(310) 451-7284,Santa Monica ,United States,,Space.NK- Brentwood Country Mart,CA,"225 26th St, #40",90402
(415) 419-5904,Larkspur ,United States,,Space.NK- Larkspur Landing,CA,2011 Larkspur Landing Circle,94939
(714) 540-3233,Costa Mesa ,United States,,Saks Fifth Avenue- South Coast Plaza,CA,3333 Bristol St,92626
(916) 646-2400,Sacramento ,United States,,Nordstrom- Arden Fair,CA,1651 Arden Way,95815
(925) 930-7959,Walnut Creek ,United States,,Nordstrom- Walnut Creek,CA,1200 Broadway Plaza,94596
(408) 248-2180,San Jose ,United States,,Nordstrom- Valley Fair,CA,2400 Forest Ave,95128
(818) 884-7900,Canoga Park ,United States,,Nordstrom- Topanga,CA,21725 Victory Boulevard,91303
(650) 323-5111,Palo Alto ,United States,,Nordstrom- Standford Shopping Center,CA,550 Stanford Shopping Center,94304
(714) 549-8300,Costa Mesa ,United States,,Nordstrom- South Coast Plaza,CA,3333 Bristol St,92626
(415) 243-8500,San Francisco ,United States,,Nordstrom- Westfield San Francisco Centre,CA,865 Market St,94103
(949) 347-2710,Mission Viejo ,United States,,Nordstrom- The Shops at Mission Viejo,CA,100 The Shops Blvd,92691
(650) 570-5111,San Mateo ,United States,,Nordstrom- Hillsdale Shopping Center,CA,130 Hillsdale Mall,94403
(818) 502-9922,Glendale ,United States,,Nordstrom- The Americana at Brand,CA,102 Caruso Avenue,91210
(619) 295-4441,San Diego ,United States,,Nordstrom- Fashion Valley,CA,6997 Friars Rd,92108
(323) 930-2230,Los Angeles ,United States,,Nordstrom- The Grove,CA,189 The Grove Drive,90036
(562) 924-0940,Cerritos ,United States,,Nordstrom- Cerritos,CA,300 Los Cerritos Center,90703
(714) 529-0123,Brea ,United States,,Nordstrom- Brea Mall,CA,500 Brea Mall Way,92821
(415) 924-5400,Corte Madera ,United States,,bluemercury- The Village at Corte Madera,CA,1624 Redwood Hwy,94925
(650) 463-2051,Palo Alto ,United States,,Bloomingdale's- Stanford Shopping Center,CA,1 Stanford Shopping Center,94304
(310) 985-6400,Santa Monica ,United States,,Bloomingdale's- Santa Monica,CA,"315 Colorado Avenue, Santa Monica Place",90401
(714) 824-4731,Costa Mesa ,United States,,Bloomingdale's- South Coast Plaza,CA,3333 Bristol St,92626
(818) 325-2200,Sherman Oaks ,United States,,Bloomingdale's- Sherman Oaks,CA,"14060 Riverside Drive, Westfield Fashion Square",91423
(415) 856-5300,San Francisco ,United States,,Bloomingdale's- San Francisco,CA,845 Market Street Westfield San Francisco Centre,64103
(949) 729-6600,Newport Beach ,United States,,Bloomingdale's- Newport Beach,CA,"Fashion Island, 701 Newport Center Drive",92660
(310) 772-2100,Los Angeles ,United States,,Bloomdingale's- Century City,CA,10250 Santa Monica Boulevard,90067
(323) 761-5255,Los Angeles ,United States,,Barney's- The Grove,CA,189 The Grove Dr,90036
(818) 254-3170,Glendale ,United States,,Barney's- Glendale,CA,"The Americana at Brand, 869 Americana Way",91210
(415) 268-3500,San Francisco ,United States,,Barney's- San Francisco,CA,77 O'Farrell Street,94108
(310) 276-4400,Beverly Hills ,United States,,Barney's- Beverly Hills,CA,9570 Wilshire Boulevard,90212
(626) 821-6363,Santa Anita ,United States,,Nordstrom- Santa Anita,CA,400 S Baldwin Avenue,91007
(520) 529-9700,Tucson ,United States,,bluemercury- La Encantada,AZ,2905 E Skyline Dr #283,85718
(480) 946-4111,Scottsdale ,United States,,Nordstrom- Scottsdale Fashion Square,AZ,7055 East Camelback Road,85251
(602) 337-6000,Scottsdale ,United States,,Barney's- Scottsdale Fashion Square,AZ,4500 N Scottsdale Rd,85251
