store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
University Park Mall,1735,6501 North Grape Road,,Mishawaka,IN,46545,US,(574) 247-1240,-86.1910125,41.71949,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Brookfield Square,870,95 North Moorland Road,,Brookfield,WI,53005,US,(262) 782-5037,-88.1096606,43.0324821,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Mayfair Mall,1891,2500 N. Mayfair Road,,Wauwatosa,WI,53226,US,(414)257-2870,-88.0456476,43.0638475,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 09:00-22:00, 11:00-19:00",,
Bayshore Town Center,1326,5707 N. Centerpark Way,,Milwaukee,WI,53217,US,(414) 967-0475,-87.9149764,43.1212696,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
LOS  3030 Johnson Creek Premiu,3030,595 W. Linmar Lane,,Johnson Creek,WI,53038,US,(920)699-5990,-88.7634319,43.0887433,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-19:00",,
Shoppes at College Hill,1516,305 Veterans Parkway,,Normal,IL,61761,US,(309) 452-6353,-88.9572454,40.5068583,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Rivertown Circle,1305,3357 Century Center St SW,,Grandville,MI,49418,US,(616) 724-1857,-85.7470089,42.8820617,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
LOS  3105 Grand Rapids,3105,350 84th St SW,,Byron Center,MI,49315,US,(616) 583-0509,-85.6729507,42.8113043,"09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 10:00-19:00",,
Market Place,1515,2000 North Neil Street,,Champaign,IL,61820,US,(217) 355-0395,-88.2429304,40.1423318,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Breton Village Shopping Ctr,1799,1840 Breton Road Southeast,,Grand Rapids,MI,49506,US,(616)949-9814,-85.6093594,42.9295576,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-19:00, 12:00-17:00",,
Greenway Station,1342,1621 Deming Way,,Middleton,WI,53562,US,(608) 836-6636,-89.5265744,43.0911471,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 12:00-17:00",,
Shoppes at Grand Prairie,1362,5201 West War Memorial Drive,,Peoria,IL,61615,US,(309) 693-2762,-89.673712,40.7787369,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Jefferson Pointe,977,4120 West Jefferson Blvd,,Fort Wayne,IN,46804,US,(260) 459-2328,-85.1957571,41.0721275,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 12:00-17:00",,
Lower Manhattan,683,2 Broadway,,New York,NY,10004,US,(212) 809-1435,-74.0130866,40.7045399,"08:00-20:00, 08:00-20:00, 08:00-20:00, 08:00-20:00, 08:00-20:00, 11:00-18:00, 00:01-00:02",,
Brooklyn Heights,1446,125 Montague Street,,Brooklyn,NY,11201,US,(718) 643-6585,-73.9944324,40.6950335,"09:00-20:00, 09:00-20:00, 09:00-20:00, 09:00-20:00, 09:00-20:00, 09:00-20:00, 10:00-19:00",,
NOHO,748,770 Broadway,,New York,NY,10003,US,(646) 602-1582,-73.9915217,40.7306008,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-19:00",,
LOFT 4514 Lou & Grey Flat Iron,4514,138 Fifth Ave,,New York,NY,10011,US,(212) 620-0531,-73.9918489,40.7390712,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-19:00",,
Newport Centre,1863,30 Mall Drive West,,Jersey City,NJ,07310,US,(201) 793-4242,-74.0384239,40.7270588,"10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 11:00-18:00",,
Flatiron,1787,156 Fifth Avenue,,New York,NY,10010,US,(212) 675-7457,-73.9910549,40.7399443,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-19:00",,
42nd and Lexington,1819,150 East 42nd Street,,New York,NY,10017,US,(212) 599-3140,-73.975455,40.7509156,"08:00-21:00, 08:00-21:00, 08:00-21:00, 08:00-21:00, 08:00-21:00, 10:00-19:00, 11:00-18:00",,
Times Square,1614,1459 Broadway,,NEW YORK,NY,10036,US,(212) 704-4195,-73.9869218,40.7557915,"08:00-22:00, 08:00-22:00, 08:00-22:00, 08:00-22:00, 08:00-22:00, 09:00-22:00, 10:00-22:00",,
Avenue of the Americas,1775,1230 Ave of the Americas,,New York,NY,10020,US,(212)757-4408,-73.9808028,40.7588411,"08:00-21:00, 08:00-21:00, 08:00-21:00, 08:00-21:00, 08:00-21:00, 09:00-21:00, 10:00-20:00",,
Upper West Side,1747,2015-17 Broadway,,New York,NY,10023,US,(212) 873-7344,-73.9825559,40.7762651,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-19:00",,
84th & 3rd,812,1492 Third Avenue,,New York,NY,10028,US,(212) 472-7281,-73.9548575,40.777616,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-19:00",,
Columbus Avenue,1892,795 Columbus Avenue,,New York,NY,10025,US,(212)678-4913,-73.965964,40.7943209,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Cityplace at Promenade,1304,31 City Place,,Edgewater,NJ,07020,US,(201) 941-9592,-73.989462,40.8061621,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 00:01-00:02",,
Queens,866,70-31 Austin Street,,Forest Hills,NY,11375,US,(718) 275-6873,-73.8459831,40.7207672,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-19:00",,
LOS  2906 Mills at Jersey Gard,2906,651 Kapkowski Rd,,Elizabeth,NJ,07201,US,(908) 355-2391,-74.1729273,40.6606775,"09:00-22:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-19:00",,
Staten Island Mall,1425,2655 Richmond Ave,,Staten Island,NY,10314,US,(718) 477-0798,-74.1659155,40.582418,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Bay Terrace,756,2344 Bell Boulevard,,Bayside,NY,11360,US,(718) 423-2755,-73.7757069,40.7806419,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-18:00",,
LOFT 1915 Garden State Plaza T,1915,1 Garden State Plaza,,Paramus,NJ,07652,US,201-845-8810,-74.075323,40.914763,"10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 00:01-00:02",,
Paramus Park Mall,804,700 Paramus Park,,Paramus,NJ,07652,US,(201) 225-1004,-74.0688694,40.9566399,"10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 00:01-00:02",,
LOFT 1913 Willowbrook Mall,1913,1400 Willowbrook Mall,,Wayne,NJ,07470,US,973-812-0823,-74.2615039,40.8900807,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-19:00",,
The Mall at Shorthills,1794,1200 Morris Turnpike,,Short Hills,NJ,07078,US,(973)218-1203,-74.3634129,40.7399621,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-20:00, 10:00-18:00",,
Woodbridge Center,754,250 Woodbridge Center Dr,,Woodbridge,NJ,07095,US,(732) 634-5455,-74.2997508,40.5562081,"10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 11:00-19:00",,
LOS  3113 Livingston Mall,3113,112 EISENHOWER PARKWAY,,LIVINGSTON,NJ,07039,US,973-994-0801,-74.3560065,40.7777281,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-18:00",,
LOFT 1907 Ridge Hill,1907,194 Market Street,,Yonkers,NY,10710,US,(914) 968-7646,-73.8557303,40.9631135,"10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 11:00-19:00",,
The Sands Shopping Center,960,3563 Long Beach Rd,,Oceanside,NY,11572,US,(516) 766-6086,-73.6380754,40.6235143,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-18:00",,
Roosevelt Field Mall,1780,630 Old Country Road,,Garden City,NY,11530,US,(516)741-0749,-73.6138821,40.7378609,"10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 11:00-19:00",,
Eastchester Shopping Center,1472,703 White Plains Road,,Scarsdale,NY,10583,US,(914) 472-0361,-73.8068744,40.9708279,"10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-20:00, 10:00-19:00, 10:00-19:00, 11:00-18:00",,
The Westchester,1771,125 Westchester Ave,,White Plains,NY,10601,US,(914) 949-3675,-73.7585505,41.0315151,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
The Grove West,1709,540A Broad Street,,Shrewsbury,NJ,07702,US,(732) 933-8723,-74.0639062,40.3332723,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-18:00, 11:00-17:00",,
Shops at Nanuet,1813,1501 Fashion Avenue,,Nanuet,NY,10954,US,(845)624-0980,-74.0158892,41.0964034,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-19:00",,
Woodbury Plaza,1340,417A South Oyster Bay Road,,Plainview,NY,11803,US,(516) 942-0187,-73.5015899,40.7824185,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-18:00",,
The Shoppes at Union Hill,1301,3056 New Jersey 10,,DENVILLE,NJ,07834,US,(973) 537-9021,-74.505415,40.8657179,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-18:00",,
The Shoppes at Old Bridge,1569,601 Texas Rd,,Old Bridge,NJ,08857,US,(732) 972-0464,-74.3026181,40.3662368,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-19:00, 11:00-18:00",,
The Shoppes at N Brunswick,1634,519 Shoppes Blvd,,North Brunswick,NJ,08902,US,(732) 227-1750,-74.4584059,40.4607331,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Walt Whitman Mall,1741,260-1 Route 110,,HUNTINGTON STATION,NY,11746,US,(631) 423-4443,-73.4108882,40.8308342,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:30, 10:00-21:30, 11:00-19:00",,
Main Street,1310,263-265 Main Street,,Huntington,NY,11743,US,(631) 367-0125,-73.426627,40.871407,"10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 10:00-19:00, 11:00-18:00",,
LOFT 1920 Bridgewater Commons,1920,620 Commons Way,,Bridgewater,NJ,08807,US,908-722-1098,-74.6149453,40.5826132,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
Stamford Town Center,1540,100 Greyrock Place,,Stamford,CT,06901,US,(203) 406-9544,-73.5371438,41.0530774,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
LOS  2915 Jersey Shore LOS,2915,One Premium Outlets Blvd,,Tinton Falls,NJ,07753,US,(732) 493-2396,-74.094905,40.2224754,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-19:00",,
Great South Bay,747,855 West Montauk Highway,,West Babylon,NY,11704,US,(631) 422-6020,-73.3493843,40.6849048,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-18:00",,
LOS  3023 Deer Park Outlets,3023,1454 The Arches Circle,,Deer Park,NY,11729,US,(631)586-0193,-73.305368,40.7646382,"09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 10:00-20:00",,
Mayfair Shopping Center,879,170B East Jericho Turnpike,,COMMACK,NY,11725,US,(631) 864-3400,-73.2728151,40.8434348,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-19:00, 11:00-18:00",,
Sea Girt,1428,2157 Highway 35,,Sea Girt,NJ,08750,US,(732) 974-7983,-74.063082,40.138544,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-18:00, 11:00-17:00",,
LOS  2991 Woodbury Commons LOS,2991,498 Red Apple Court,,Central Valley,NY,10917,US,(845)928-9152,-74.1250602,41.3168987,"09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00, 09:00-21:00",,
Jefferson Valley Mall,1370,650 Lee Blvd,,Yorktown Heights,NY,10598,US,(914) 245-8701,-73.8076819,41.3285755,"10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 11:00-18:00",,
LOS  2958 Jackson LOS,2958,537 Monmouth Rd,,Jackson,NJ,08527,US,(732) 833-4515,-74.4174029,40.1616374,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-19:00",,
Westport,1477,17 Main Street,,Westport,CT,06880,US,(203) 227-0323,-73.3616615,41.1416156,"10:00-18:00, 10:00-18:00, 10:00-18:00, 10:00-19:00, 10:00-18:00, 10:00-18:00, 11:00-17:00",,
The Shoppes at Flemington,1692,100 Reaville Avenue,,Flemington,NJ,08822,US,(908) 284-1249,-74.8516106,40.5001092,"10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 10:00-20:00, 11:00-17:00",,
Smith Haven Mall,1603,644 Smith Haven Mall,,Lake Grove,NY,11755,US,(631) 863-1349,-73.1291381,40.8630539,"10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 10:00-21:30, 11:00-19:00",,
Stony Brook Village,1452,79 & 81 Main Street,,Stony Brook,NY,11790,US,(631) 689-8030,-73.146304,40.91635,"10:00-18:00, 10:00-18:00, 10:00-18:00, 10:00-18:00, 10:00-18:00, 10:00-18:00, 11:00-17:00",,
Lou&Grey Santana Row,4505,334 Santana Row,,San Jose,CA,95128,US,(408)260-9124,-121.947451,37.321848,"10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 10:00-21:00, 11:00-18:00",,
